company,security,CNPJ
BOMBRIL S.A., BOBR4,50.564.053/0001-03
BR MALLS PARTICIPACOES S.A.,BRML3,06.977.745/0001-91
BR PROPERTIES S.A.,BRPR3,06.977.751/0001-49
BRADESCO LEASING S.A. ARREND MERCANTIL,#N/D,47.509.120/0001-82
BRADESPAR S.A.,BRAP4,03.847.461/0001-92
BRADESPAR S.A., BRAP3,03.847.461/0001-92
BRASIL BROKERS PARTICIPACOES S.A.,BBRK3,08.613.550/0001-98
BRASILAGRO – CIA BRAS DE PROP AGRICOLAS,AGRO3,07.628.528/0001-59
BRASKEM S.A.,BRKM6,42.150.391/0001-70
BRASKEM S.A., BRKM5,42.150.391/0001-70
BRASKEM S.A., BRKM3,42.150.391/0001-70
BRAZIL REALTY CIA SECURIT. CRÉD. IMOBILIÁRIOS,#N/D,07.119.838/0001-48
BRAZILIAN FINANCE E REAL ESTATE S.A.,#N/D,02.762.113/0001-50
BRAZILIAN SECURITIES CIA SECURITIZACAO,#N/D,03.767.538/0001-14
BRB BCO DE BRASILIA S.A.,BSLI4,00.000.208/0001-00
BRB BCO DE BRASILIA S.A., BSLI3,00.000.208/0001-00
BRF S.A.,BRFS3,01.838.723/0001-27
BRPR 56 SECURITIZADORA CRED IMOB S.A.,#N/D,06.137.677/0001-52
BRQ SOLUCOES EM INFORMATICA S.A.,BRQB3,36.542.025/0001-64
CABINDA PARTICIPACOES S.A.,CABI3B,04.030.182/0001-02
CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.,#N/D,05.336.882/0001-84
CACONDE PARTICIPACOES S.A.,CACO3B,04.031.213/0001-31
CAMBUCI S.A.,CAMB3,61.088.894/0001-08
CAMIL ALIMENTOS S.A.,CAML3,64.904.295/0001-03
CCR S.A.,CCRO3,02.846.056/0001-97
CEA MODAS S.A.,CEAB3,45.242.914/0001-05
CEMEPE INVESTIMENTOS S.A.,MAPT4,93.828.986/0001-73
CEMEPE INVESTIMENTOS S.A., MAPT3,93.828.986/0001-73
CEMIG DISTRIBUICAO S.A.,CMIG3,06.981.180/0001-16
CEMIG DISTRIBUICAO S.A., CMIG4,06.981.180/0001-16
CENTRAIS ELET BRAS S.A. – ELETROBRAS,ELET3,00.001.180/0001-26
CENTRAIS ELET BRAS S.A. – ELETROBRAS, ELET5,00.001.180/0001-26
CENTRAIS ELET BRAS S.A. – ELETROBRAS, ELET6,00.001.180/0001-26
CENTRAIS ELET DE SANTA CATARINA S.A.,CLSC4,83.878.892/0001-55
CENTRAIS ELET DE SANTA CATARINA S.A., CLSC3,83.878.892/0001-55
CENTRO DE IMAGEM DIAGNOSTICOS S.A.,AALR3,42.771.949/0001-35
CESP – CIA ENERGETICA DE SAO PAULO,CESP6,60.933.603/0001-78
CESP – CIA ENERGETICA DE SAO PAULO, CESP5,60.933.603/0001-78
CESP – CIA ENERGETICA DE SAO PAULO, CESP3,60.933.603/0001-78
CIA BRASILEIRA DE DISTRIBUICAO,PCAR3,47.508.411/0001-56
CIA CATARINENSE DE AGUAS E SANEAM.-CASAN,CASN4,82.508.433/0001-17
CIA CATARINENSE DE AGUAS E SANEAM.-CASAN, CASN3,82.508.433/0001-17
CIA CELG DE PARTICIPACOES – CELGPAR,GPAR3,08.560.444/0001-93
CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG,CEGR3,33.938.119/0001-69
CIA ELETRICIDADE EST. DA BAHIA – COELBA,CEEB3,15.139.629/0001-94
CIA ELETRICIDADE EST. DA BAHIA – COELBA, CEEB5,15.139.629/0001-94
CIA ELETRICIDADE EST. DA BAHIA – COELBA, CEEB6,15.139.629/0001-94
CIA ENERGETICA DE BRASILIA,CEBR6,00.070.698/0001-11
CIA ENERGETICA DE BRASILIA, CEBR5,00.070.698/0001-11
CIA ENERGETICA DE BRASILIA, CEBR3,00.070.698/0001-11
CIA ENERGETICA DE MINAS GERAIS – CEMIG,CMIG4,17.155.730/0001-64
CIA ENERGETICA DE MINAS GERAIS – CEMIG, CMIG3,17.155.730/0001-64
CIA ENERGETICA DE PERNAMBUCO – CELPE,CEPE5,10.835.932/0001-08
CIA ENERGETICA DE PERNAMBUCO – CELPE, CEPE3,10.835.932/0001-08
CIA ENERGETICA DO CEARA – COELCE,COCE6,07.047.251/0001-70
CIA ENERGETICA DO CEARA – COELCE, COCE5,07.047.251/0001-70
CIA ENERGETICA DO CEARA – COELCE, COCE3,07.047.251/0001-70
CIA ENERGETICA DO RIO GDE NORTE – COSERN,CSRN3,08.324.196/0001-81
CIA ENERGETICA DO RIO GDE NORTE – COSERN, CSRN5,08.324.196/0001-81
CIA ENERGETICA DO RIO GDE NORTE – COSERN, CSRN6,08.324.196/0001-81
CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D,CEED4,08.467.115/0001-00
CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D, CEED3,08.467.115/0001-00
CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,EEEL4,92.715.812/0001-31
CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT, EEEL3,92.715.812/0001-31
CIA FERRO LIGAS DA BAHIA – FERBASA,FESA4,15.141.799/0001-03
CIA FERRO LIGAS DA BAHIA – FERBASA, FESA3,15.141.799/0001-03
CIA FIACAO TECIDOS CEDRO CACHOEIRA,CEDO4,17.245.234/0001-00
CIA FIACAO TECIDOS CEDRO CACHOEIRA, CEDO3,17.245.234/0001-00
CIA GAS DE SAO PAULO – COMGAS,CGAS3,61.856.571/0001-17
CIA GAS DE SAO PAULO – COMGAS, CGAS5,61.856.571/0001-17
CIA HABITASUL DE PARTICIPACOES,HBTS3,87.762.563/0001-03
CIA HABITASUL DE PARTICIPACOES, HBTS5,87.762.563/0001-03
CIA HABITASUL DE PARTICIPACOES, HBTS6,87.762.563/0001-03
CIA HERING,HGTX3,78.876.950/0001-71
CIA INDUSTRIAL CATAGUASES,CATA3,19.526.748/0001-50
CIA INDUSTRIAL CATAGUASES, CATA4,19.526.748/0001-50
CIA LOCAÇÃO DAS AMÉRICAS,LCAM3,10.215.988/0001-60
CIA MELHORAMENTOS DE SAO PAULO,MSPA3,60.730.348/0001-66
CIA MELHORAMENTOS DE SAO PAULO, MSPA4,60.730.348/0001-66
